species,bcr,Aerial_insectivore,Agriculture_foraging,Conservation_assisted,Urban-adapted
American Robin,14,0,0,0,1
Common Yellowthroat,14,0,0,0,0
American Crow,14,0,0,0,1
Red-eyed Vireo,14,0,0,0,0
Song Sparrow,14,0,0,0,1
Black-capped Chickadee,14,0,0,0,1
Ovenbird,14,0,0,0,0
American Goldfinch,14,0,0,0,1
Blue Jay,14,0,0,0,1
American Redstart,14,0,0,0,0
White-throated Sparrow,14,0,0,0,0
Common Grackle,14,0,1,0,0
Tree Swallow,14,1,0,0,0
Chipping Sparrow,14,0,0,0,1
European Starling,14,0,1,0,1
Red-winged Blackbird,14,0,1,0,0
Chestnut-sided Warbler,14,0,0,0,0
Veery,14,0,0,0,0
Hermit Thrush,14,0,0,0,0
Cedar Waxwing,14,0,0,0,0
Least Flycatcher,14,0,0,0,0
Yellow Warbler,14,0,0,0,0
Alder Flycatcher,14,0,0,0,0
Yellow-rumped Warbler (all forms),14,0,0,0,0
Barn Swallow,14,1,1,0,0
Northern Flicker (all forms),14,0,0,0,0
Black-and-white Warbler,14,0,0,0,0
Black-throated Green Warbler,14,0,0,0,0
Purple Finch,14,0,0,0,0
Gray Catbird,14,0,0,0,0
Blue-headed Vireo,14,0,0,0,0
Mourning Dove,14,0,0,0,1
Magnolia Warbler,14,0,0,0,0
Common Raven,14,0,0,0,0
Yellow-bellied Sapsucker,14,0,0,0,0
Winter Wren,14,0,0,0,0
Bobolink,14,0,0,0,0
Dark-eyed Junco (all forms),14,0,0,0,0
Rose-breasted Grosbeak,14,0,0,0,0
Nashville Warbler,14,0,0,0,0
Red-breasted Nuthatch,14,0,0,0,0
Eastern Wood-Pewee,14,0,0,0,0
Eastern Phoebe,14,0,0,0,0
Northern Parula,14,0,0,0,0
Brown-headed Cowbird,14,0,1,0,0
Savannah Sparrow,14,0,1,0,0
Downy Woodpecker,14,0,0,0,1
Hairy Woodpecker,14,0,0,0,0
Wood Thrush,14,0,0,0,0
Black-throated Blue Warbler,14,0,0,0,0
Blackburnian Warbler,14,0,0,0,0
Swainson's Thrush,14,0,0,0,0
Eastern Kingbird,14,0,0,0,0
Swamp Sparrow,14,0,0,0,0
House Sparrow,14,0,1,0,1
Scarlet Tanager,14,0,0,0,0
Killdeer,14,0,0,0,0
Chimney Swift,14,1,0,0,0
Rock Pigeon,14,0,0,0,1
Northern Waterthrush,14,0,0,0,0
Ruby-crowned Kinglet,14,0,0,0,0
Canada Warbler,14,0,0,0,0
Pileated Woodpecker,14,0,0,0,0
Great Crested Flycatcher,14,0,0,0,0
Wilson's Snipe,14,0,0,0,0
White-breasted Nuthatch,14,0,0,0,0
Baltimore Oriole,14,0,0,0,0
Indigo Bunting,14,0,0,0,0
Ruby-throated Hummingbird,14,0,0,0,1
Golden-crowned Kinglet,14,0,0,0,0
Belted Kingfisher,14,0,0,0,0
House Wren,14,0,0,0,1
Cliff Swallow,14,1,0,0,0
Evening Grosbeak,14,0,0,0,0
Bank Swallow,14,1,0,0,0
Mourning Warbler,14,0,0,0,0
Warbling Vireo,14,0,0,0,0
Common Loon,14,0,0,0,0
Great Blue Heron,14,0,0,0,1
Olive-sided Flycatcher,14,0,0,0,0
Yellow-bellied Flycatcher,14,0,0,0,0
Tennessee Warbler,14,0,0,0,0
Bay-breasted Warbler,14,0,0,0,0
Eastern Bluebird,14,0,0,0,0
Brown Creeper,14,0,0,0,0
American Kestrel,14,0,1,0,0
Northern Cardinal,14,0,0,0,1
Lincoln's Sparrow,14,0,0,0,0
American Bittern,14,0,0,0,0
Pine Warbler,14,0,0,0,0
Brown Thrasher,14,0,0,0,0
Eastern Towhee,14,0,0,0,0
Pine Siskin,14,0,0,0,0
Eastern Meadowlark,14,0,0,0,0
American Black Duck,14,0,0,1,0
Field Sparrow,14,0,0,0,0
Broad-winged Hawk,14,0,0,0,0
Mallard,14,0,0,0,1
Boreal Chickadee,14,0,0,0,0
Cape May Warbler,14,0,0,0,0
House Finch,14,0,0,0,1
Spotted Sandpiper,14,0,0,0,0
Black-billed Cuckoo,14,0,0,0,0
Ruffed Grouse,14,0,0,0,0
Tufted Titmouse,14,0,0,0,0
Canada Goose,14,0,0,1,1
Canada Jay,14,0,0,0,0
Philadelphia Vireo,14,0,0,0,0
Wilson's Warbler,14,0,0,0,0
Wild Turkey,14,0,0,1,0
Common Merganser,14,0,0,0,0
Ring-necked Pheasant,14,0,0,1,0
Palm Warbler,14,0,0,0,0
Vesper Sparrow,14,0,0,0,0
Blackpoll Warbler,14,0,0,0,0
Barred Owl,14,0,0,0,0
Northern Mockingbird,14,0,0,0,0
Red-tailed Hawk (all forms),14,0,0,0,1
Wood Duck,14,0,0,0,0
White-winged Crossbill,14,0,0,0,0
Willow Flycatcher,14,0,0,0,0
Northern Harrier,14,0,0,0,0
Turkey Vulture,14,0,0,0,0
Rusty Blackbird,14,0,0,0,0
Yellow-throated Vireo,14,0,0,0,0
Northern Rough-winged Swallow,14,1,0,0,0
Fox Sparrow,14,0,0,0,0
Common Nighthawk,14,1,0,0,0
Bald Eagle,14,0,0,1,0